Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux de répo0e;Poids de la discipline;Taux d’i0ertion;% emplois cadre ou professio0 intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net me0uel régional 1er quartile;Salaire net me0uel régional 3ème quartile;cle_ETAB
2015;MASTER LMD;0331766R;Bordeaux - Montaigne;A04;Bordeaux;SHS;Sciences humaines et sociales;disc07;E0emble sciences humaines et sociales;18 mois après le diplôme;75;70;80;78;35;81;1560;24300;45.00;8.4;1750;40;55;67;1390;2060;Bordeaux - Montaigne_18
2015;MASTER E0;0333298F;Bordeaux;A04;Bordeaux;MEEF;Masters e0eignement;disc18;Masters e0eignement;18 mois après le diplôme;74;100;95;92;87;94;1700;26500;17.00;8.4;1750;87;39;79;1390;2060;Bordeaux_18
2015;MASTER E0;0333298F;Bordeaux;A04;Bordeaux;MEEF;Masters e0eignement;disc18;Masters e0eignement;30 mois après le diplôme;74;100;96;92;87;94;1800;28100;17.00;8.4;1750;88;39;79;1390;2060;Bordeaux_30
2015;MASTER LMD;0333298F;Bordeaux;A04;Bordeaux;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;75;7;77;94;50;67;1600;25000;30.00;8.4;1750;78;37;83;1390;2060;Bordeaux_18
2015;MASTER LMD;0333298F;Bordeaux;A04;Bordeaux;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;76;6;93;77;61;100;1700;26500;30.00;8.4;1750;57;66;56;1390;2060;Bordeaux_18
2015;MASTER LMD;0333298F;Bordeaux;A04;Bordeaux;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;76;6;91;85;84;98;2220;34600;30.00;8.4;1750;67;66;56;1390;2060;Bordeaux_30
2015;MASTER E0;0341089Z;Montpellier 3 - Paul-Valéry;A11;Montpellier;MEEF;Masters e0eignement;disc18;Masters e0eignement;30 mois après le diplôme;50;100;98;100;98;96;1900;29600;2.00;10.5;1770;100;64;85;1400;2110;Montpellier 3 - Paul-Valéry_30
2015;MASTER LMD;0341089Z;Montpellier 3 - Paul-Valéry;A11;Montpellier;DEG;Droit, économie et gestion;disc01;E0emble formatio0 juridiques, économiques et de gestion;30 mois après le diplôme;55;16;90;75;68;88;1630;25400;53.00;10.5;1770;34;53;83;1400;2110;Montpellier 3 - Paul-Valéry_30
2015;MASTER LMD;0341089Z;Montpellier 3 - Paul-Valéry;A11;Montpellier;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;76;12;80;64;36;86;1610;25200;53.00;10.5;1770;44;47;69;1400;2110;Montpellier 3 - Paul-Valéry_30
2015;MASTER LMD;0341089Z;Montpellier 3 - Paul-Valéry;A11;Montpellier;SHS;Sciences humaines et sociales;disc09;Psychologie;18 mois après le diplôme;81;14;84;91;48;64;0;0;53.00;10.5;1770;71;38;86;1400;2110;Montpellier 3 - Paul-Valéry_18
